,left,center,right
0," pieczołowicie, jak kiedyś mój", tata,. Noemi przyrządziła pyszny obiad
1," ojcem ani wymówek, że", tata," jest zbyt surowy, a"
2, że ten dzidziuś to wykapany, tata,! - usłyszałam za
3, za sobą. - Czyj, tata,? - nie zrozumiał mąż
4,m mężczyznę. Był to, tata, Rafałka. Siedział na urlopie
5, tracić takich pieniędzy. Nianiek, tata, Rafałka nie uznawał. Wiedział
6,.. - zdziwił się, tata, Rafałka. Dwie mamy spojrzały
7," dziadków na wieś, a", tata, Rafałka zabrał rodzinę do stadniny
8,. - Kto to jest, tata, Rafałka? - zainteresowała się
9, - No..., tata, Rafałka. - Aha -
